id_product,tag
1,Сухой
1,Корм для собак
1,Все породы

2,Натуральный
2,Корм для собак
2,Средние породы

3,Супер-премиум
3,Корм для собак
3,Для щенков

4,Лечебный
4,Корм для собак
4,Гипоаллергенный

5,Органический
5,Корм для собак
5,Взрослые

6,Сухой
6,Корм для котят
6,Премиум

7,Натуральный
7,Для взрослых кошек
7,Все породы

8,Лечебный
8,Гипоаллергенный
8,Ветеринарный

9,Беззерновой
9,Для кошек
9,Гипоаллергенный

10,Сухой
10,Для высокоактивных кошек
10,Все породы

11,Сухой
11,Корм для кроликов
11,Премиум

12,Лакомства
12,Для хомяков
12,Все породы

13,Сухой
13,Корм для морских свинок
13,Питательный

14,Влажный
14,Корм для шиншилл
14,Органический

15,Сухой
15,Корм для сомов
15,Премиум

16,Сухой
16,Корм для тропических рыб
16,Премиум

17,Леденцы
17,Корм для золотых рыб
17,Развлекательный

18,Ортопедическая
18,Для щенков
18,Премиум

19,Кошачья лежанка
19,Для расслабления
19,С вибрацией

20,Лежанка с массажем
20,Для собак всех размеров
20,Премиум

21,Подогреваемая
21,Кошачья лежанка
21,Теплая

22,Аквариум
22,Для рыб
22,Большой

23,Клетка
23,Для хомяков
23,Многоуровневая

24,Клетка
24,Для шиншилл
24,Просторная
